Queue Number,Project Number,Project Name,Generation/Fuel 1,NET MW 1,Generation/Fuel 2,NET MW 2,Generation/Fuel 3,NET MW 3,NET MW POI,PROJECT COUNTY,Project State,Study Area,PTO,POI,Voltage kV,Requested COD,Queue Date ,Application Date,Service Type
2207,54516,Alisa Solar Energy Complex 2,Photovoltaic/Solar,500.0,Storage/Battery,500.0,,,500.0,Yuma,AZ,SAN DIEGO,SDGE,NORTH GILA - HOODOO WASH (SDGE Portion Only),525,2030-06-01,2025-02-12,2024-11-18,Energy Only Requested
2328,54934,Amanece,Photovoltaic/Solar,418.992798,Storage/Battery,416.545013,,,400.0,Stanislaus,CA,PG&E FRESNO,PGAE,QUINTO SW STA- FINK SW STA 230 kV,230,2029-07-31,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2322,55045,Ambar Energy Storage,Storage/Battery,504.9,,,,,500.01,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2030-06-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2244,54963,Annapurna,Storage/Battery,257.0,,,,,250.0,Merced County,CA,PG&E FRESNO,PGAE,QUINTO SW STA 230 kV,230,2028-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2204,54897,Antlia,Storage/Battery,204.859,,,,,199.0,Monterey,CA,PG&E GBA,PGAE,MOSS LANDING PP 115 kV,115,2031-12-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2212,54730,Argenta,Photovoltaic/Solar,155.76,,,,,150.01,San Bernardino,CA,SCE NOL,SCE,PISGAH 230 kV,230,2031-05-01,2025-02-12,2024-11-20,Energy Only Requested
2219,54767,Argos Solar,Photovoltaic/Solar,352.0165,,,,,350.12,San Bernadino,CA,SCE NOL,SCE,CALCITE 230 kV,230,2030-06-01,2025-02-12,2024-11-15,Energy Only Requested
2349,54509,Aviation,Storage/Battery,600.0,Combustion Turbine/Hydrogen,600.0,,,600.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-08-01,2025-02-12,2024-11-18,Full Capacity Deliverability Status Requested
2305,54761,Bajada,Photovoltaic/Solar,352.9885,,,,,350.0,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 230 kV,230,2030-06-01,2025-02-12,2024-11-15,Energy Only Requested
2333,55013,Belterra Energy Storage,Storage/Battery,514.08,,,,,500.0,Calaveras,CA,PG&E GBA,PGAE,BELLOTA 230 kV,230,2028-04-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2298,54694,Blue Star,Photovoltaic/Solar,306.352356,Storage/Battery,206.8022619,,,300.0,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-03-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2248,54657,Bolt,Photovoltaic/Solar,255.4,Storage/Battery,253.8,,,250.0,Fresno,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2031-05-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2206,54655,Bonita Bateria,Storage/Battery,102.91,,,,,100.0,Orange,CA,SAN DIEGO,SDGE,TALEGA 138 kV,138,2029-05-31,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2208,54656,Bonita Bateria 2,Storage/Battery,123.405,,,,,120.0,Orange,CA,SAN DIEGO,SDGE,MARGARITA 138 kV,138,2029-05-31,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2265,54850,Box,Photovoltaic/Solar,63.44,,,,,60.0,Riverside,CA,SCE EASTERN,SCE,RED BLUFF 230 kV,230,2029-01-01,2025-02-12,2024-12-02,Energy Only Requested
2257,54523,Bristlecone,Photovoltaic/Solar,460.95,Storage/Battery,460.14,,,450.0,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2030-06-01,2025-02-12,2024-11-05,Energy Only Requested
2308,54518,Broadview,Photovoltaic/Solar,816.4,Storage/Battery,491.8,,,800.0,Fresno,CA,PG&E FRESNO,WAPA,LOS BANOS-GATES #3,500,2028-09-01,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2336,54696,Brown Bear,Storage/Battery,74.202262,Photovoltaic/Solar,303.785,,,300.0,Kings,CA,PG&E FRESNO,PGAE,DRY LAKE SW STA 500 kV ,500,2029-03-30,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2359,54697,Brundage Energy Storage,Storage/Battery,202.2668,,,,,197.0,Los Angeles,CA,SCE NORTHERN,SCE,ANTELOPE 230 kV,230,2029-06-01,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2353,54724,Cabrera Reliability,Storage/Battery,205.403,,,,,199.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-09-15,2025-02-12,2024-11-14,Full Capacity Deliverability Status Requested
2280,54771,Cantus,Storage/Battery,249.524,Photovoltaic/Solar,249.524,,,240.0,Merced,CA,PG&E FRESNO,PGAE,FINK SW STA 230 kV,230,2031-03-14,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
2370,54809,Carissalito Creek,Storage/Battery,415.86,Photovoltaic/Solar,415.86,,,400.0,Merced,CA,PG&E FRESNO,PGAE,LOS BANOS 500 kV,500,2030-12-31,2025-02-12,2024-11-21,Full Capacity Deliverability Status Requested
2261,54721,Cassia,Storage/Battery,102.15,,,,,99.0,San Joaquin,CA,PG&E GBA,PGAE,LAMMERS 115 kV,115,2031-03-31,2025-02-12,2024-11-22,Full Capacity Deliverability Status Requested
2306,55012,Chronos Energy Storage,Storage/Compressed Air,516.8,,,,,500.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2031-11-30,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2277,54640,Circinus,Storage/Battery,185.643,Photovoltaic/Solar,185.643,,,180.0,Merced,CA,PG&E FRESNO,PGAE,LE GRAND 115 kV,115,2031-12-01,2025-02-12,2024-11-20,Energy Only Requested
2339,54511,Comstock,Storage/Battery,199.0,Combustion Turbine/Hydrogen,199.0,,,199.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2028-08-01,2025-02-12,2024-11-19,Full Capacity Deliverability Status Requested
2227,54896,Conduit Energy Storage 2,Storage/Battery,199.0,,,,,199.0,San Bernardino,CA,SCE METRO,SCE,LUGO 500 kV,500,2031-02-26,2025-02-12,2024-11-15,Full Capacity Deliverability Status Requested
2226,54667,Container,Photovoltaic/Solar,204.57,,,,,200.0,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2031-06-01,2025-02-12,2024-11-18,Energy Only Requested
2344,54593,Cowboy,Photovoltaic/Solar,156.4,Storage/Battery,155.3,,,150.0,Colusa,CA,PG&E NGBA,PGAE,DELEVAN-CORTINA,230,2030-06-30,2025-02-12,2024-11-27,Energy Only Requested
2350,55001,Crusade,Storage/Battery,1029.0,,,,,1000.0,Orange,CA,SCE METRO,SCE,VIEJO 230 kV,230,2028-12-31,2025-02-12,2024-12-02,Full Capacity Deliverability Status Requested
2210,54939,Domestic Chicken,Photovoltaic/Solar,559.4,,,,,550.01,Maricopa,AZ,SAN DIEGO,SDGE,HASSAYAMPA 500 kV,500,2029-12-03,2025-02-12,2024-11-20,Energy Only Requested
2286,54774,Dove Cove,Storage/Battery,514.368,,,,,500.0,San Joaquin,CA,PG&E GBA,PGAE,TESLA 500 kV,500,2031-03-14,2025-02-12,2024-11-20,Full Capacity Deliverability Status Requested
