Queue Number,Project Number,Project Name,Generation/Fuel 1,NET MW 1,Generation/Fuel 2,NET MW 2,Generation/Fuel 3,NET MW 3,NET MW POI,PROJECT COUNTY,Project State,Study Area,PTO,POI,Voltage kV,Requested COD,Queue Date,Application Date ,Withdrawal Date,Service Type
2229,54899,Clay Flats,Storage/Battery,437.08,,,,,425.0,king,CA,PG&E FRESNO,LSPC,MANNING 500 kV,500,2030-10-01,2025-02-12,2024-11-22,2025-04-23,Energy Only Requested
2202,55018,Gibson,Storage/Battery,154.598,,,,,150.0,Merced,CA,PG&E FRESNO,PGAE,MERCY SPRINGS SW STA 70 kV,70,2028-04-14,2025-02-12,2024-11-15,2025-04-24,Energy Only Requested
2283,54729,Amargosa SEZ,Photovoltaic/Solar,510.35,Storage/Battery,508.19,,,500.0,Nye,NV,SCE EOP,GLW,BEATTY 230 kV,230,2030-12-01,2025-02-12,2024-11-18,2025-04-25,Merchant- Full Capacity Deliverability Status Requested
2228,54946,Grapevine 2,Storage/Battery,505.1,,,,,500.0,Clark,NV,SCE EOP,SCE,ELDORADO 230 kV,230,2028-06-01,2025-02-12,2024-11-18,2025-04-25,Merchant- Full Capacity Deliverability Status Requested
2290,54668,Ashton Energy Center,Photovoltaic/Solar,1026.67,Storage/Battery,1022.47,,,1000.0,Nye,NV,SCE EOP,GLW,VALLEY SWITCH 230 kV,230,2032-12-01,2025-02-12,2024-11-18,2025-04-25,Merchant- Full Capacity Deliverability Status Requested
2299,54873,Saltgrass,Storage/Battery,4.9995,Storage/Battery,166.1045,,,162.0,Stanislaus,CA,PG&E GBA,PGAE,SALADO 115 kV,115,2028-06-01,2025-02-12,2024-11-26,2025-04-28,Full Capacity Deliverability Status Requested
2245,54870,Reed Meadow,Storage/Battery,565.769988,,,,,550.0,Clark,NV,SCE EOP,GLW,SLOAN CANYON 230 kV,230,2031-12-01,2025-02-12,2024-11-21,2025-04-28,Merchant- Full Capacity Deliverability Status Requested
2211,54777,Campito Peak,Storage/Battery,565.769988,,,,,550.0,Inyo,CA,SCE EOP,GLW,TROUT CANYON 230 kV,230,2031-12-01,2025-02-12,2024-11-21,2025-04-28,Merchant- Full Capacity Deliverability Status Requested
2291,54765,Onyx,Photovoltaic/Solar,353.1114,Storage/Battery,352.9139,,,350.0,Clark,NV,SCE EOP,GLW,DESERT VIEW-INNOVATION,230,2030-12-02,2025-02-12,2024-11-20,2025-04-29,Merchant- Full Capacity Deliverability Status Requested
2241,54764,Hiko,Storage/Battery,359.798,,,,,350.0,Clark,NV,SCE EOP,SCE,MOHAVE 500 kV,500,2031-12-02,2025-02-12,2024-11-15,2025-04-29,Merchant- Full Capacity Deliverability Status Requested
