Project Name,Queue Position,"Interconnection Request
Receive Date",Queue Date,Application Status,"Study
Process",Type-1,Type-2,Type-3,Fuel-1,Fuel-2,Fuel-3,MW-1,MW-2,MW-3,Net MWs to Grid,"Full Capacity, Partial or Energy Only (FC/P/EO)",TPD Allocation Percentage,Off-Peak Deliverability and Economic Only,TPD Allocation Group,County,State,Utility,PTO Study Region,Station or Transmission Line,"Proposed
On-line Date
(as filed with IR)","Current
On-line Date",Suspension Status,Feasibility Study or Supplemental Review,"System Impact Study or 
Phase I Cluster Study","Facilities Study (FAS) or 
Phase II Cluster Study","Optional Study
(OS)","Interconnection Agreement 
Status",status,"Actual
On-line Date",Project Name - Confidential,Withdrawn Date,Reason for Withdrawal
MONTEZUMA (HIGH WINDS III),22,2003-11-18 00:00:00,2003-11-18 08:00:00,ACTIVE,AMEND 39,Wind Turbine,Storage,,Wind Turbine,Battery,,38,38,,38,Partial Capacity,50,Off-Peak Deliverability,Group D,SOLANO,CA,PGAE,Northern,Birds Landing 230 kV,2005-06-30 07:00:00,2024-04-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
TULE WIND,32,2004-05-12 00:00:00,2004-05-24 07:00:00,ACTIVE,Serial LGIP,Wind Turbine,Storage,,Wind Turbine,Battery,,127.6,131.6,,193.8,Partial Capacity,23,Off-Peak Deliverability,,SAN DIEGO,CA,SDGE,SDGE,Boulevard East Substation 138 kV,2007-09-01 07:00:00,2030-10-31 07:00:00,,Waived,Complete,Complete,,Executed,active,,,,
MIDWAY PEAKING,54,2005-01-12 00:00:00,2005-01-12 08:00:00,ACTIVE,Serial LGIP,Gas Turbine,Storage,,Natural Gas,Battery,,119.9,119.9,,119.9,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Panoche Substation,2008-06-01 07:00:00,2027-06-30 07:00:00,,Waived,Complete,Re-Study,,Executed,active,,,,
FRESNO COGENERATION EXPANSION PROJECT,61,2005-03-28 00:00:00,2005-03-30 08:00:00,ACTIVE,AMEND 39,Steam Turbine,Storage,,Natural Gas,Battery,,73.2699966430664,18.5,,73.27,Full Capacity,,Off-Peak Deliverability,,FRESNO,CA,PGAE,Fresno,Helm-Kerman 70 kV Line,2006-05-31 07:00:00,2023-02-28 08:00:00,,,Complete,Complete,,Executed,active,,,,
LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,72,2005-04-26 00:00:00,2005-06-21 07:00:00,ACTIVE,Serial LGIP,Storage,,,Pumped-Storage hydro,,,500,,,500,Full Capacity,,,,RIVERSIDE,CA,SDGE,SDGE,Proposed Lee Lake Substation 500 kV,2008-12-31 08:00:00,2028-12-31 08:00:00,,Waived,Complete,Re-Study,,Executed,active,,,,
BOTTLE ROCK POWER,81,2005-09-13 00:00:00,2005-09-13 07:00:00,ACTIVE,Serial LGIP,Steam Turbine,Storage,,Geothermal,Battery,,9.435,47.4465,,52.01,Energy Only,,Off-Peak Deliverability,Group A,LAKE,CA,PGAE,Kern,Geysers #17-Fulton 230 kV Line,2006-09-01 07:00:00,2027-11-30 08:00:00,,,Complete,Complete,,Executed,active,,,,
CPC WEST,96,2006-02-15 00:00:00,2006-03-01 08:00:00,ACTIVE,Serial LGIP,Wind Turbine,Storage,Storage,Wind Turbine,Battery,Battery,600,150,150,600,Partial Capacity,59.76,Off-Peak Deliverability,Group A,KERN,CA,SCE,Northern,Tehachapi Conceptual Substation #1,2009-12-31 08:00:00,2025-06-05 07:00:00,,Waived,Complete,,,Executed,active,,,,
WINDSTAR I ALTERNATE,100,2006-04-05 00:00:00,2006-04-05 07:00:00,ACTIVE,Serial LGIP,Wind Turbine,Storage,,Wind Turbine,Battery,,120,120,,120,Full Capacity,,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Vincent Substation 230kV,2007-12-31 08:00:00,2030-10-15 07:00:00,,Waived,Complete,,,Executed,active,,,,
SILVER RIDGE MOUNT SIGNAL,124,2006-08-22 00:00:00,2006-08-22 07:00:00,ACTIVE,Serial LGIP,Photovoltaic,Storage,,Solar,Battery,,600,150,,600,Partial Capacity,19.36,Off-Peak Deliverability,,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,2011-03-01 08:00:00,2027-06-01 07:00:00,,Waived,Complete,Complete,,Executed,active,,,,
SANDSTORM WIND POWER ,138,2006-10-23 00:00:00,2006-10-23 07:00:00,ACTIVE,Serial LGIP,Wind Turbine,Storage,,Wind Turbine,Battery,,60,90,,150,Partial Capacity,30.44,Off-Peak Deliverability,,RIVERSIDE,CA,SCE,Eastern,Devers Substation 220 kV ,2008-12-31 08:00:00,2030-02-01 08:00:00,,Waived,Complete,Complete,,Executed,active,,,,
MONTEZUMA II,222,2007-05-23 00:00:00,2007-05-23 07:00:00,ACTIVE,TC,Wind Turbine,Storage,,Wind Turbine,Battery,,78,54,,78,Partial Capacity,59,Off-Peak Deliverability,Group D,SOLANO,CA,PGAE,Northern,Birds Landing 230 kV,2010-12-31 08:00:00,2012-01-29 08:00:00,,,Complete,Complete,,Executed,active,,,,
TRACY COMBINED-CYCLE POWER PLANT,268,2007-10-24 00:00:00,2007-10-24 07:00:00,ACTIVE,Serial LGIP,Steam Turbine,Storage,,Natural Gas,Battery,,145,40,,145,Full Capacity,,Off-Peak Deliverability,,SAN JOAQUIN,CA,PGAE,,Tesla-Manteca 115kV line via Schulte Switchyard,2012-06-01 07:00:00,2027-04-28 07:00:00,,Waived,Complete,Complete,,Executed,active,,,,
AMERICAN KINGS SOLAR,272,2007-11-01 00:00:00,2007-11-01 07:00:00,ACTIVE,TC,Photovoltaic,Storage,,Solar,Battery,,123,73.8,,123,Full Capacity,,Off-Peak Deliverability,Group A,KINGS,CA,PGAE,Fresno,Henrietta 70 kV,2012-06-01 07:00:00,2025-12-30 08:00:00,,,Complete,Complete,,Executed,active,,,,
ALTA VISTA SUNTOWER GENERATING STATION,297,2008-01-18 00:00:00,2008-01-18 08:00:00,ACTIVE,TC,Steam Turbine,Storage,,Solar,Battery,,66,66,,66,Full Capacity,,Off-Peak Deliverability,Group A,LOS ANGELES,CA,SCE,Northern,Neenach-Bailey 66kV line,2009-12-01 08:00:00,2027-12-11 08:00:00,,,Complete,Complete,,Executed,active,,,,
LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,378,2008-05-28 00:00:00,2008-05-28 07:00:00,ACTIVE,TC,Combined Cycle,Storage,,Natural Gas,Battery,,120,3,,120,Full Capacity,,Off-Peak Deliverability,,SANTA CLARA,CA,PGAE,Northern,Los Esteros 115 kV,2011-06-01 07:00:00,2023-09-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
OCOTILLO EXPRESS,493,2009-07-16 00:00:00,2009-07-31 07:00:00,ACTIVE,C01,Wind Turbine,Storage,,Wind Turbine,Battery,,265.44,238.989,,265.44,Partial Capacity,35,Off-Peak Deliverability,,IMPERIAL,CA,SDGE,,Ocotillo Switchyard 500 kV ,2013-12-31 08:00:00,2030-05-31 07:00:00,,,Complete,Complete,,Executed,active,,,,
ROSAMOND WEST SOLAR,506,2009-07-30 00:00:00,2009-07-31 07:00:00,ACTIVE,C01,Photovoltaic,Storage,,Solar,Battery,,299.6,255.7,,299.6,Partial Capacity,63.35,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,2015-07-31 07:00:00,2029-03-31 07:00:00,,,Complete,Complete,,Executed,active,,,,
CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),539,2009-12-18 00:00:00,2009-12-18 08:00:00,ACTIVE,SGIP,Photovoltaic,Storage,,Solar,Battery,,20,20,,20,Energy Only,,Off-Peak Deliverability,,STANISLAUS,CA,PGAE,,Salado-Newman #1 60kV Line,2012-10-31 07:00:00,2025-04-01 07:00:00,,,Facilities Study,SGIA,,Executed,active,,,,
KETTLEMAN SOLAR PROJECT (FKA KETTLEMAN SOLAR FARM),625,2010-05-14 00:00:00,2010-05-14 07:00:00,ACTIVE,SGIP,Photovoltaic,Storage,,Solar,Battery,,20,20,,20,Energy Only,,Off-Peak Deliverability,,KINGS,CA,PGAE,Fresno,Henrietta-Tulare Lake 70 kV,2011-12-31 08:00:00,2025-04-01 07:00:00,,,Facilities Study,SGIA,,Executed,active,,,,
NORTH ROSAMOND SOLAR,643R,2010-07-30 00:00:00,2010-07-31 07:00:00,ACTIVE,C03,Photovoltaic,Storage,,Solar,Battery,,153,100,,153,Partial Capacity,13.95,Off-Peak Deliverability,,KERN,CA,SCE,Northern,Whirlwind Sub 230 kV Bus,2013-06-01 07:00:00,2026-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
PUMPJACK SOLAR I (AKA PIONEER SOLAR I),653B,2010-09-29 00:00:00,2010-09-29 07:00:00,ACTIVE,SGIP-TC,Photovoltaic,Storage,,Solar,Battery,,20,20,,20,Partial Capacity,,Off-Peak Deliverability,,KERN,CA,PGAE,,Belridge - Temblor 115 kV,2013-05-01 07:00:00,2027-06-01 07:00:00,,,Complete,Complete,,Executed,active,,,,
