source,sheet_outcome,pto,affected_pto,study_area,poi,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,status_raw
cluster14,intake_snapshot,DCRT,SCE,Eastern,Cielo Azul Substation,storage,516.7638,solar,516.7638,,,500.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Delaney Substation,storage,350.0,solar,350.0,,,350.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Cielo Azul Substation,storage,2000.0,,,,,2000.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Delaney-Colorado River,solar,357.53,,,,,350.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Delaney-Colorado River,storage,718.81,solar,718.81,,,700.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Cielo Azul Substation,storage,508.56,solar,508.56,,,500.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Delaney Substation,storage,410.76,solar,410.76,,,400.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Delaney Substation,storage,450.0,solar,450.0,,,450.0,
cluster14,intake_snapshot,DCRT,SCE,Eastern,Delaney,storage,150.0,solar,175.0,,,150.0,
cluster14,intake_snapshot,SCE,,Eastern,Vista Substation,storage,220.0,,,,,250.0,
cluster14,intake_snapshot,SCE,,Eastern,Colorado River,storage,360.624,solar,360.624,,,350.0,
cluster14,intake_snapshot,SCE,,Eastern,Devers Substaion,storage,404.1,,,,,400.0,
cluster14,intake_snapshot,SCE,,Eastern,Red Bluff Substation,storage,250.0,solar,250.0,,,250.0,
cluster14,intake_snapshot,SCE,,Eastern,Vista Substation,storage,200.0,,,,,200.0,
cluster14,intake_snapshot,SCE,,Eastern,Devers-El Casco,storage,300.0,solar,300.0,,,300.0,
cluster14,intake_snapshot,SCE,,Eastern,Mirage Substation,storage,250.0,,,,,250.0,
cluster14,intake_snapshot,SCE,,Eastern,Red Bluff Substation,storage,250.0,,,,,250.0,
cluster14,intake_snapshot,SCE,,Eastern,Red Bluff Substation,storage,250.0,,,,,250.0,
cluster14,intake_snapshot,SCE,,Eastern,Red Bluff Substation,storage,675.65,solar,675.65,,,650.0,
cluster14,intake_snapshot,SCE,,Eastern,San Bernardino Substation,storage,358.4412,,,,,350.0,
cluster14,intake_snapshot,SCE,,Eastern,Devers Substation,storage,205.92,wind,207.0,solar,205.9,200.0,
cluster14,intake_snapshot,SCE,,Eastern,Blythe Substation,storage,308.0,wind,308.0,solar,308.0,300.0,
