pto,affected_pto,area,total_mw_at_poi,tech_1,mw_t1,tech_2,mw_t2,tech_3,mw_t3,poi,voltage_kv,tech_1_norm,tech_2_norm,tech_3_norm,technology,net_mw
DCRT,SCE,Eastern,500.0,Battery,516.7638,Solar PV,516.7638,,,Cielo Azul Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),500.0
DCRT,SCE,Eastern,350.0,Battery,350.0,Solar PV,350.0,,,Delaney Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),350.0
DCRT,SCE,Eastern,2000.0,Battery,2000.0,,,,,Cielo Azul Substation,500.0,Battery,,,Battery,2000.0
DCRT,SCE,Eastern,350.0,Solar PV,357.53,,,,,Delaney-Colorado River,500.0,Solar,,,Solar,350.0
DCRT,SCE,Eastern,700.0,Battery,718.81,Solar PV,718.81,,,Delaney-Colorado River,500.0,Battery,Solar,,Hybrid (Solar+Storage),700.0
DCRT,SCE,Eastern,500.0,Battery,508.56,Solar PV,508.56,,,Cielo Azul Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),500.0
DCRT,SCE,Eastern,400.0,Battery,410.76,Solar PV,410.76,,,Delaney Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),400.0
DCRT,SCE,Eastern,450.0,Battery,450.0,Solar PV,450.0,,,Delaney Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),450.0
DCRT,SCE,Eastern,150.0,Battery,150.0,Solar PV,175.0,,,Delaney,500.0,Battery,Solar,,Hybrid (Solar+Storage),150.0
SCE,,Eastern,250.0,Battery,220.0,,,,,Vista Substation,230.0,Battery,,,Battery,250.0
SCE,,Eastern,350.0,Battery,360.624,Solar PV,360.624,,,Colorado River,230.0,Battery,Solar,,Hybrid (Solar+Storage),350.0
SCE,,Eastern,400.0,Battery,404.1,,,,,Devers Substaion,230.0,Battery,,,Battery,400.0
SCE,,Eastern,250.0,Battery,250.0,Solar PV,250.0,,,Red Bluff Substation,220.0,Battery,Solar,,Hybrid (Solar+Storage),250.0
SCE,,Eastern,200.0,Battery,200.0,,,,,Vista Substation,230.0,Battery,,,Battery,200.0
SCE,,Eastern,300.0,Battery,300.0,Solar PV,300.0,,,Devers-El Casco,230.0,Battery,Solar,,Hybrid (Solar+Storage),300.0
SCE,,Eastern,250.0,Battery,250.0,,,,,Mirage Substation,230.0,Battery,,,Battery,250.0
SCE,,Eastern,250.0,Battery,250.0,,,,,Red Bluff Substation,230.0,Battery,,,Battery,250.0
SCE,,Eastern,250.0,Battery,250.0,,,,,Red Bluff Substation,230.0,Battery,,,Battery,250.0
SCE,,Eastern,650.0,Battery,675.65,Solar PV,675.65,,,Red Bluff Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),650.0
SCE,,Eastern,350.0,Battery,358.4412,,,,,San Bernardino Substation,220.0,Battery,,,Battery,350.0
SCE,,Eastern,200.0,Battery,205.92,Wind Turbine,207.0,Solar PV,205.9,Devers Substation,220.0,Battery,Wind,Solar,Hybrid (Solar+Storage),200.0
SCE,,Eastern,300.0,Battery,308.0,Wind Turbine,308.0,Solar PV,308.0,Blythe Substation,161.0,Battery,Wind,Solar,Hybrid (Solar+Storage),300.0
SCE,,Eastern,320.0,Battery,324.4,Solar PV,324.4,,,Eagle Mountain Substation,161.0,Battery,Solar,,Hybrid (Solar+Storage),320.0
SCE,,Eastern,350.0,Battery,354.2,Solar PV,354.2,,,Red Bluff Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),350.0
SCE,,Eastern,280.0,Solar PV,288.144,,,,,Blythe Substation,161.0,Solar,,,Solar,280.0
SCE,,Eastern,400.0,Battery,410.76,,,,,Valley Substation,500.0,Battery,,,Battery,400.0
SCE,,Eastern,1400.0,Battery,1415.4,Pumped Storage,1434.4,,,Red Bluff Substation,500.0,Battery,Battery,,Battery,1400.0
SCE,,Eastern,400.0,Battery,404.8,Solar PV,65.0,,,Mirage Substation,220.0,Battery,Solar,,Hybrid (Solar+Storage),400.0
SCE,,Eastern,1000.0,Battery,1000.0,Solar PV,1000.0,,,Colorado River - Palo Verde 500kV Series Capacitor Station,500.0,Battery,Solar,,Hybrid (Solar+Storage),1000.0
SCE,,Eastern,123.0,Battery,510.21,,,,,Julian Hinds Substation,230.0,Battery,,,Battery,123.0
SCE,,Northern,1000.0,Battery,1030.455,,,,,Moorpark Substation,230.0,Battery,,,Battery,1000.0
SCE,,Northern,600.0,Battery,623.48,Solar PV,623.48,,,Whirlwind Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),600.0
SCE,,Northern,400.0,Battery,400.0,,,,,Vincent Substation,230.0,Battery,,,Battery,400.0
SCE,,Northern,300.0,Battery,306.7,Solar PV,306.7,,,Whirlwind Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),300.0
SCE,,Northern,250.0,Battery,261.0,,,,,Rector Substation,230.0,Battery,,,Battery,250.0
SCE,,Northern,250.0,Battery,250.0,,,,,Antelope Substation,230.0,Battery,,,Battery,250.0
SCE,,Northern,500.0,Battery,500.0,,,,,Vincent Substation,230.0,Battery,,,Battery,500.0
SCE,,Northern,150.0,Battery,153.5,Solar PV,153.5,,,Vincent Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),150.0
SCE,,Northern,200.0,Battery,204.5175,,,,,Moorpark Substation,230.0,Battery,,,Battery,200.0
SCE,,Northern,300.0,Battery,300.0,,,,,Antelope Valley Substation,230.0,Battery,,,Battery,300.0
SCE,,Northern,500.0,Battery,500.0,Solar PV,500.0,,,Windhub Substation,500.0,Battery,Solar,,Hybrid (Solar+Storage),500.0
SCE,,Northern,500.0,Battery,500.0,,,,,Moorpark Substation,230.0,Battery,,,Battery,500.0
SCE,,Northern,250.0,Battery,250.0,Solar PV,250.0,,,Highwind Substation,230.0,Battery,Solar,,Hybrid (Solar+Storage),250.0
SCE,,Northern,150.0,Battery,150.0,,,,,Rector Substation,230.0,Battery,,,Battery,150.0
