source,sheet_outcome,queue_id,project_number,project_name,pto,study_area,poi,voltage_kv,county,state,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,date_application,date_cod_requested,service_type,status_raw
cluster15,intake_snapshot,2207,54516,Alisa Solar Energy Complex 2,SDGE,SAN DIEGO,NORTH GILA - HOODOO WASH (SDGE Portion Only),525,Yuma,AZ,solar,500.0,storage,500.0,,,500.0,2024-11-18,2030-06-01,Energy Only Requested,
cluster15,intake_snapshot,2328,54934,Amanece,PGAE,PG&E FRESNO,QUINTO SW STA- FINK SW STA 230 kV,230,Stanislaus,CA,solar,418.992798,storage,416.545013,,,400.0,2024-11-21,2029-07-31,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2322,55045,Ambar Energy Storage,SCE,SCE METRO,LUGO 500 kV,500,San Bernardino,CA,storage,504.9,,,,,500.01,2024-11-21,2030-06-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2244,54963,Annapurna,PGAE,PG&E FRESNO,QUINTO SW STA 230 kV,230,Merced County,CA,storage,257.0,,,,,250.0,2024-11-20,2028-06-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2204,54897,Antlia,PGAE,PG&E GBA,MOSS LANDING PP 115 kV,115,Monterey,CA,storage,204.859,,,,,199.0,2024-11-19,2031-12-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2212,54730,Argenta,SCE,SCE NOL,PISGAH 230 kV,230,San Bernardino,CA,solar,155.76,,,,,150.01,2024-11-20,2031-05-01,Energy Only Requested,
cluster15,intake_snapshot,2219,54767,Argos Solar,SCE,SCE NOL,CALCITE 230 kV,230,San Bernadino,CA,solar,352.0165,,,,,350.12,2024-11-15,2030-06-01,Energy Only Requested,
cluster15,intake_snapshot,2349,54509,Aviation,SCE,SCE METRO,LUGO 500 kV,500,San Bernardino,CA,storage,600.0,Combustion Turbine/Hydrogen,600.0,,,600.0,2024-11-18,2028-08-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2305,54761,Bajada,SCE,SCE EASTERN,RED BLUFF 230 kV,230,Riverside,CA,solar,352.9885,,,,,350.0,2024-11-15,2030-06-01,Energy Only Requested,
cluster15,intake_snapshot,2333,55013,Belterra Energy Storage,PGAE,PG&E GBA,BELLOTA 230 kV,230,Calaveras,CA,storage,514.08,,,,,500.0,2024-11-19,2028-04-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2298,54694,Blue Star,PGAE,PG&E FRESNO,DRY LAKE SW STA 500 kV,500,Kings,CA,solar,306.352356,storage,206.8022619,,,300.0,2024-11-21,2029-03-30,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2248,54657,Bolt,LSPC,PG&E FRESNO,MANNING 500 kV,500,Fresno,CA,solar,255.4,storage,253.8,,,250.0,2024-11-21,2031-05-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2206,54655,Bonita Bateria,SDGE,SAN DIEGO,TALEGA 138 kV,138,Orange,CA,storage,102.91,,,,,100.0,2024-11-19,2029-05-31,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2208,54656,Bonita Bateria 2,SDGE,SAN DIEGO,MARGARITA 138 kV,138,Orange,CA,storage,123.405,,,,,120.0,2024-11-19,2029-05-31,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2265,54850,Box,SCE,SCE EASTERN,RED BLUFF 230 kV,230,Riverside,CA,solar,63.44,,,,,60.0,2024-12-02,2029-01-01,Energy Only Requested,
cluster15,intake_snapshot,2257,54523,Bristlecone,GLW,SCE EOP,VALLEY SWITCH 230 kV,230,Nye,NV,solar,460.95,storage,460.14,,,450.0,2024-11-05,2030-06-01,Energy Only Requested,
cluster15,intake_snapshot,2308,54518,Broadview,WAPA,PG&E FRESNO,LOS BANOS-GATES #3,500,Fresno,CA,solar,816.4,storage,491.8,,,800.0,2024-11-21,2028-09-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2336,54696,Brown Bear,PGAE,PG&E FRESNO,DRY LAKE SW STA 500 kV,500,Kings,CA,storage,74.202262,solar,303.785,,,300.0,2024-11-21,2029-03-30,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2359,54697,Brundage Energy Storage,SCE,SCE NORTHERN,ANTELOPE 230 kV,230,Los Angeles,CA,storage,202.2668,,,,,197.0,2024-11-20,2029-06-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2353,54724,Cabrera Reliability,SCE,SCE METRO,LUGO 500 kV,500,San Bernardino,CA,storage,205.403,,,,,199.0,2024-11-14,2028-09-15,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2280,54771,Cantus,PGAE,PG&E FRESNO,FINK SW STA 230 kV,230,Merced,CA,storage,249.524,solar,249.524,,,240.0,2024-11-20,2031-03-14,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2370,54809,Carissalito Creek,PGAE,PG&E FRESNO,LOS BANOS 500 kV,500,Merced,CA,storage,415.86,solar,415.86,,,400.0,2024-11-21,2030-12-31,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2261,54721,Cassia,PGAE,PG&E GBA,LAMMERS 115 kV,115,San Joaquin,CA,storage,102.15,,,,,99.0,2024-11-22,2031-03-31,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2306,55012,Chronos Energy Storage,SCE,SCE METRO,LUGO 500 kV,500,San Bernardino,CA,storage,516.8,,,,,500.0,2024-12-02,2031-11-30,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2277,54640,Circinus,PGAE,PG&E FRESNO,LE GRAND 115 kV,115,Merced,CA,storage,185.643,solar,185.643,,,180.0,2024-11-20,2031-12-01,Energy Only Requested,
cluster15,intake_snapshot,2339,54511,Comstock,SCE,SCE METRO,LUGO 500 kV,500,San Bernardino,CA,storage,199.0,Combustion Turbine/Hydrogen,199.0,,,199.0,2024-11-19,2028-08-01,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2227,54896,Conduit Energy Storage 2,SCE,SCE METRO,LUGO 500 kV,500,San Bernardino,CA,storage,199.0,,,,,199.0,2024-11-15,2031-02-26,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2226,54667,Container,GLW,SCE EOP,VALLEY SWITCH 230 kV,230,Nye,NV,solar,204.57,,,,,200.0,2024-11-18,2031-06-01,Energy Only Requested,
cluster15,intake_snapshot,2344,54593,Cowboy,PGAE,PG&E NGBA,DELEVAN-CORTINA,230,Colusa,CA,solar,156.4,storage,155.3,,,150.0,2024-11-27,2030-06-30,Energy Only Requested,
cluster15,intake_snapshot,2350,55001,Crusade,SCE,SCE METRO,VIEJO 230 kV,230,Orange,CA,storage,1029.0,,,,,1000.0,2024-12-02,2028-12-31,Full Capacity Deliverability Status Requested,
cluster15,intake_snapshot,2210,54939,Domestic Chicken,SDGE,SAN DIEGO,HASSAYAMPA 500 kV,500,Maricopa,AZ,solar,559.4,,,,,550.01,2024-11-20,2029-12-03,Energy Only Requested,
cluster15,intake_snapshot,2286,54774,Dove Cove,PGAE,PG&E GBA,TESLA 500 kV,500,San Joaquin,CA,storage,514.368,,,,,500.0,2024-11-20,2031-03-14,Full Capacity Deliverability Status Requested,
