project_name,queue_position,fuel_primary,fuel_secondary,fuel_tertiary,net_mw,county,state,utility,pto_study_region,poi_station_or_line,application_status,status,technology,is_withdrawn,is_completed,is_active
MONTEZUMA (HIGH WINDS III),22.0,Wind Turbine,Battery,,38.0,SOLANO,CA,PGAE,Northern,Birds Landing 230 kV,ACTIVE,active,storage,0,0,1
TULE WIND,32.0,Wind Turbine,Battery,,193.8,SAN DIEGO,CA,SDGE,SDGE,Boulevard East Substation 138 kV,ACTIVE,active,storage,0,0,1
MIDWAY PEAKING,54.0,Natural Gas,Battery,,119.9,FRESNO,CA,PGAE,Fresno,Panoche Substation,ACTIVE,active,storage,0,0,1
FRESNO COGENERATION EXPANSION PROJECT,61.0,Natural Gas,Battery,,73.27,FRESNO,CA,PGAE,Fresno,Helm-Kerman 70 kV Line,ACTIVE,active,storage,0,0,1
LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,72.0,Pumped-Storage hydro,,,500.0,RIVERSIDE,CA,SDGE,SDGE,Proposed Lee Lake Substation 500 kV,ACTIVE,active,storage,0,0,1
BOTTLE ROCK POWER,81.0,Geothermal,Battery,,52.01,LAKE,CA,PGAE,Kern,Geysers #17-Fulton 230 kV Line,ACTIVE,active,storage,0,0,1
CPC WEST,96.0,Wind Turbine,Battery,Battery,600.0,KERN,CA,SCE,Northern,Tehachapi Conceptual Substation #1,ACTIVE,active,storage,0,0,1
WINDSTAR I ALTERNATE,100.0,Wind Turbine,Battery,,120.0,KERN,CA,SCE,Northern,Vincent Substation 230kV,ACTIVE,active,storage,0,0,1
SILVER RIDGE MOUNT SIGNAL,124.0,Solar,Battery,,600.0,IMPERIAL,CA,SDGE,,Imperial Valley Substation 230 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
SANDSTORM WIND POWER ,138.0,Wind Turbine,Battery,,150.0,RIVERSIDE,CA,SCE,Eastern,Devers Substation 220 kV ,ACTIVE,active,storage,0,0,1
MONTEZUMA II,222.0,Wind Turbine,Battery,,78.0,SOLANO,CA,PGAE,Northern,Birds Landing 230 kV,ACTIVE,active,storage,0,0,1
TRACY COMBINED-CYCLE POWER PLANT,268.0,Natural Gas,Battery,,145.0,SAN JOAQUIN,CA,PGAE,,Tesla-Manteca 115kV line via Schulte Switchyard,ACTIVE,active,storage,0,0,1
AMERICAN KINGS SOLAR,272.0,Solar,Battery,,123.0,KINGS,CA,PGAE,Fresno,Henrietta 70 kV,ACTIVE,active,hybrid_solar_storage,0,0,1
ALTA VISTA SUNTOWER GENERATING STATION,297.0,Solar,Battery,,66.0,LOS ANGELES,CA,SCE,Northern,Neenach-Bailey 66kV line,ACTIVE,active,hybrid_solar_storage,0,0,1
LOS ESTEROS CRITICAL ENERGY FACILITY EXPANSION,378.0,Natural Gas,Battery,,120.0,SANTA CLARA,CA,PGAE,Northern,Los Esteros 115 kV,ACTIVE,active,storage,0,0,1
OCOTILLO EXPRESS,493.0,Wind Turbine,Battery,,265.44,IMPERIAL,CA,SDGE,,Ocotillo Switchyard 500 kV ,ACTIVE,active,storage,0,0,1
ROSAMOND WEST SOLAR,506.0,Solar,Battery,,299.6,KERN,CA,SCE,Northern,Whirlwind Substation 230kV,ACTIVE,active,hybrid_solar_storage,0,0,1
CROW CREEK SOLAR 1 (FKA: FRONTIER SOLAR 1) (FKA AS SCATEC WESTSIDE SOLAR RANCH I AND STANISLAUS PV - PHASE 1),539.0,Solar,Battery,,20.0,STANISLAUS,CA,PGAE,,Salado-Newman #1 60kV Line,ACTIVE,active,hybrid_solar_storage,0,0,1
