source,sheet_outcome,queue_id,project_name,pto,study_area,poi,county,state,tech_1,mw_1,tech_2,mw_2,tech_3,mw_3,mw_poi,date_received,date_queue,date_cod_requested,date_cod_current_or_actual,status_raw,study_process,date_withdrawn,withdraw_reason
public_queue,active,22,MONTEZUMA (HIGH WINDS III),PGAE,Northern,Birds Landing 230 kV,SOLANO,CA,wind,38.0,storage,38.0,,,38.0,2003-11-18,2003-11-18 08:00:00,2005-06-30 07:00:00,2024-04-01 07:00:00,ACTIVE,AMEND 39,,
public_queue,active,32,TULE WIND,SDGE,SDGE,Boulevard East Substation 138 kV,SAN DIEGO,CA,wind,127.6,storage,131.6,,,193.8,2004-05-12,2004-05-24 07:00:00,2007-09-01 07:00:00,2030-10-31 07:00:00,ACTIVE,Serial LGIP,,
public_queue,active,54,MIDWAY PEAKING,PGAE,Fresno,Panoche Substation,FRESNO,CA,Natural Gas,119.9,storage,119.9,,,119.9,2005-01-12,2005-01-12 08:00:00,2008-06-01 07:00:00,2027-06-30 07:00:00,ACTIVE,Serial LGIP,,
public_queue,active,61,FRESNO COGENERATION EXPANSION PROJECT,PGAE,Fresno,Helm-Kerman 70 kV Line,FRESNO,CA,Natural Gas,73.2699966430664,storage,18.5,,,73.27,2005-03-28,2005-03-30 08:00:00,2006-05-31 07:00:00,2023-02-28 08:00:00,ACTIVE,AMEND 39,,
public_queue,active,72,LAKE ELSINORE ADVANCED PUMPED STORAGE PROJECT,SDGE,SDGE,Proposed Lee Lake Substation 500 kV,RIVERSIDE,CA,storage,500.0,,,,,500.0,2005-04-26,2005-06-21 07:00:00,2008-12-31 08:00:00,2028-12-31 08:00:00,ACTIVE,Serial LGIP,,
public_queue,active,81,BOTTLE ROCK POWER,PGAE,Kern,Geysers #17-Fulton 230 kV Line,LAKE,CA,Geothermal,9.435,storage,47.4465,,,52.01,2005-09-13,2005-09-13 07:00:00,2006-09-01 07:00:00,2027-11-30 08:00:00,ACTIVE,Serial LGIP,,
public_queue,active,96,CPC WEST,SCE,Northern,Tehachapi Conceptual Substation #1,KERN,CA,wind,600.0,storage,150.0,storage,150.0,600.0,2006-02-15,2006-03-01 08:00:00,2009-12-31 08:00:00,2025-06-05 07:00:00,ACTIVE,Serial LGIP,,
public_queue,active,100,WINDSTAR I ALTERNATE,SCE,Northern,Vincent Substation 230kV,KERN,CA,wind,120.0,storage,120.0,,,120.0,2006-04-05,2006-04-05 07:00:00,2007-12-31 08:00:00,2030-10-15 07:00:00,ACTIVE,Serial LGIP,,
public_queue,active,124,SILVER RIDGE MOUNT SIGNAL,SDGE,,Imperial Valley Substation 230 kV,IMPERIAL,CA,solar,600.0,storage,150.0,,,600.0,2006-08-22,2006-08-22 07:00:00,2011-03-01 08:00:00,2027-06-01 07:00:00,ACTIVE,Serial LGIP,,
public_queue,active,138,SANDSTORM WIND POWER,SCE,Eastern,Devers Substation 220 kV,RIVERSIDE,CA,wind,60.0,storage,90.0,,,150.0,2006-10-23,2006-10-23 07:00:00,2008-12-31 08:00:00,2030-02-01 08:00:00,ACTIVE,Serial LGIP,,
