,public_withdraw_share_resolved_mw,cluster15_withdraw_share_total_mw
Flywheel,1.0,0.0
hybrid_solar_wind,1.0,0.0
hybrid_multi,1.0,0.0
hybrid_storage_wind,1.0,0.0
Geothermal,0.9965045964556608,0.0
Water,0.9926566109948581,0.0
wind,0.9401621964233144,0.0
storage,0.9378569583380829,0.45762411783871265
solar,0.9342896661669592,0.13167033697730993
hybrid_other,0.8992294013040901,0.3335354760460885
Natural Gas,0.893071688452275,0.0
hybrid_solar_storage,0.8613735498715943,0.3419071788033894
Other,0.8509110988404197,0.0
Biofuel,0.7695467214317148,0.0
Nuclear,0.672566371681416,0.0
Biomass/Biofuel,0.0,1.0
unknown,0.0,0.0
