county,withdraw_share,resolved_mw
ALAMEDA COUNTY,1.0,150.0
CALAVERAS,1.0,100.0
GLENN,1.0,237.0
EL DORADO,1.0,160.5
CHURCHILL/PERSHING,1.0,364.2
FRESNO COUNTY,1.0,250.0
LAKE/SONOMA,1.0,201.0
LASSEN,1.0,318.01800000000003
KINGS/KERN,1.0,20.0
KERN/INYO,1.0,120.0
KERN/LOS ANGELES,1.0,480.0
KERN COUNTY,1.0,500.0
INYO,1.0,836.2
YUBA,1.0,633.0
VENTURA,1.0,3482.0
YOLO,1.0,1014.75
TECATE BAJA CALIFORNIA MEXICO,1.0,900.0
SUTTER,1.0,2473.3513
SONOMA,1.0,1509.0
SISKIYOU/MODOC,1.0,132.0
LAKE/COLUSA,1.0,66.2
LOS ANGELES/KERN,1.0,1150.0
LOS ANGELES COUNTY,1.0,600.0
MERCED COUNTY,1.0,100.0
MERCED / FRESNO,1.0,40.2
MENDOCINO,1.0,321.0
MARIPOSA,1.0,110.0
MARIN,1.0,784.9
MARICOPA,1.0,200.0
PLUMAS,1.0,124.0
NAPA,1.0,551.0
ORANGE,1.0,5958.63
ORANGE COUNTY,1.0,250.0
PLACER,1.0,1008.74
MONO,1.0,19.993
MERCED/FRESNO,1.0,99.995
TEHAMA,1.0,993.5
SANTA CLARA,1.0,2799.0
SANTA CRUZ,1.0,200.0
SANTA BARBARA,1.0,1358.72
SAN CLARA,1.0,500.0
SAN BERNADINO,1.0,2170.736
SACRAMENTO,1.0,200.0
ROSAMOND,1.0,300.0
RIVERSIDE COUNTY,1.0,475.0
TBD,1.0,2350.0
TULARE COUNTY,1.0,150.0
SHASTA/TRINITY,1.0,102.0
BUTTE,0.9949394377209252,790.4259999999999
SAN MATEO,0.9860916406344861,905.9300000000001
MERCED,0.9689298888819844,3894.418
HUMBOLDT,0.9661879708625302,4329.82
SAN BERNARDINO,0.9591180962076864,40861.6
SAN LUIS OBISPO,0.9580548808838262,24358.0188
MADERA,0.9549642791207684,1787.47
SAN JOAQUIN,0.9406574003200892,9197.439999999999
LOS ANGELES,0.9379355952037216,23619.98
FRESNO,0.9271814781444687,21684.730199999998
SAN FRANCISCO,0.9241849886277483,263.8
TULARE,0.914111659616725,5236.45
SOLANO,0.9138586129041992,7290.34
SHASTA,0.9132719434737138,1176.09
IMPERIAL,0.9008138110066404,11564.11
KERN,0.8948251659629896,53108.4974
CONTRA COSTA,0.8922861097479886,9494.133
SAN DIEGO,0.8769935792836556,23992.65
LAKE,0.858683525474154,268.9
STANISLAUS,0.855878245942172,2497.888
KINGS,0.8397458300914834,9392.1425
RIVERSIDE,0.8370081571625944,39627.75
ALAMEDA,0.8231525290075475,7101.6
COLUSA,0.6697459584295612,2165.0
SAN BENITO,0.6231493943472409,371.5
MONTEREY,0.5691952389411974,2814.5
AMADOR,0.46974063400576366,34.7
TUOLUMNE,0.0,24.7
USA,0.0,18.0
